TATORT;BEF;lon;lat
Norra Flät;10;15,774151;61,099355
Södra Flät;50;15,798314;61,080908
Svabensverk;50;15,789863;61,041682
Lamborn;50;15,704494;60,988279
Enviken;50;15,761407;60,804828
Lumsheden;50;16,243090;60,708277
Åshammar;50;16,542057;60,641858
Jädraås;50;16,467553;60,839608
Svartnäs;50;16,141085;60,908859
Björnåsen;50;15,851156;60,998204
Över berget;50;15,881623;60,965281
Tönnebro;50;16,960354;61,069554
Hagsta;50;17,021068;60,901790
Skräddrarbo;50;15,873350;61,203854
Skålsjön;50;15,886965;61,155961
Mållångstad;50;15,896164;61,250966
Kammahav;50;15,896532;61,274673
Kungsgården;50;16,605199;60,610260
Bingsjö;50;15,646503;61,019447
Ingels;50;15,235213;60,942169
Boda;50;15,220550;60,998417
Furudal;50;15,141265;61,167656
Åmot;50;16,442960;60,965480
Rönnbacken;50;16,353176;60,941361
Abisko;50;18,833326;68,347139
Treriksröset;50;20,544375;69,057485
Saarikoski;50;21,237714;68,800535
Karesuando;50;22,411577;68,453407
Svappavaara;50;21,096819;67,631316
Vittangi;50;21,652191;67,675846
Laholm;6798;13,03882;56,50394
Furulund;4637;13,09064;55,77332
Lomma;13616;13,07984;55,67455
Åkarp;6148;13,11125;55,65397
Hjärup;5527;13,14197;55,67069
Oxie;13225;13,09304;55,54082
Skegrie;1249;13,08054;55,40622
Rydsgård;1407;13,58217;55,47152
Sjöbo;8319;13,69748;55,63378
Blentarp;1461;13,59788;55,58599
Veberöd;5325;13,49873;55,63183
Löberöd;1235;13,51821;55,77664
Höör;12631;13,54734;55,90967
Hörby;7642;13,66276;55,85082
Sösdala;1942;13,67898;56,0397
Tollarp;3422;13,97722;55,93401
Tomelilla;7142;13,94721;55,54718
Vislanda;1836;14,44738;56,78727
Alvesta;9076;14,5532;56,90122
Växjö;69127;14,8029;56,88876
Gemla;1128;14,64756;56,86824
Ingelstad;1880;14,91538;56,74673
Hovmantorp;3156;15,12558;56,78634
Braås;1743;15,05395;57,06108
Norrhult-Klavreström;1238;15,15761;57,12862
Rottne;2431;14,89487;57,02192
Tångaberg;1027;12,22558;57,17567
Tvååker;2886;12,39974;57,04139
Glommen;1064;12,3669;56,93467
Varberg;35323;12,27402;57,09883
Frillesås;3227;12,18352;57,30281
Åsa;6341;12,11789;57,34864
Bua;2110;12,11527;57,2305
Onsala;12460;12,03373;57,42595
Västra Hagen;1359;11,93927;57,42863
Vallda;3996;11,98094;57,47659
Halla Heberg;1710;11,96137;57,45038
Fjärås kyrkby;2463;12,1713;57,45971
Göteborg;592042;11,97224;57,66474
Kungsbacka;23475;12,07857;57,49448
Donsö;1453;11,80166;57,59995
Styrsö;1350;11,77789;57,61546
Åmål;9511;12,69663;59,05074
Lidköping;23429;13,17434;58,49908
Lidköping norra;4117;13,12375;58,53102
Grästorp;3087;12,68024;58,3326
Mariannelund;1626;15,57271;57,61487
Virserum;1867;15,56577;57,32193
Emmaboda;5035;15,53459;56,6299
Kosta;1028;15,39619;56,84333
Åseda;2681;15,35101;57,16814
Lessebo;3016;15,27212;56,75302
Lenhovda;1811;15,2855;56,99533
Kallinge;4937;15,28728;56,24842
Ronneby;13082;15,27914;56,2068
Listerby;1009;15,38271;56,18309
Hasslö;1639;15,47868;56,11293
Nättraby;3313;15,53371;56,20007
Sturkö;1344;15,66139;56,11293
Rödeby;3548;15,62141;56,26083
Målilla;1415;15,81096;57,3873
Skanör med Falsterbo;7528;12,85549;55,39681
Höllviken och Ljunghusen;15522;12,95463;55,40836
Bunkeflostrand;14135;12,92389;55,54488
Malmö;317245;13,02159;55,59311
Tygelsjö;3455;12,99724;55,5164
Älmhult;10651;14,13538;56,55163
Osby;7783;13,99529;56,38
Hästveda;1733;13,93536;56,28616
Glimåkra;1567;14,13665;56,30552
Sibbhult;1494;14,19783;56,26809
Knislinge;3298;14,08403;56,19461
Östra Balltorp;2765;12,02272;57,62819
Mölnlycke;18320;12,12087;57,65385
Landvetter;9122;12,21846;57,6871
Myggenäs, Häggvall och Höviksnäs;3459;11,749;58,00951
Skärhamn;3594;11,55692;57,985
Svanesund;2026;11,81818;58,14289
Ellös;1068;11,47738;58,17617
Henån;2294;11,66929;58,23224
Lysekil;7882;11,45166;58,28121
Smögen;1280;11,22971;58,35727
Kungshamn;3485;11,25319;58,36118
Källby;1753;13,29246;58,51615
Götene;5078;13,47728;58,52879
Skara;11662;13,43494;58,38424
Munkfors;2957;13,53775;59,8342
Hagfors;4848;13,69129;60,0342
Filipstad;6477;14,15944;59,69706
Hällefors;4506;14,52971;59,78451
Dala-Järna;1655;14,35293;60,53775
Vansbro;1701;14,2245;60,51211
Malung;4975;13,72329;60,65437
Älvdalen;1941;14,04407;61,22501
Järpen;1604;13,46195;63,34892
