From;To;Length in meter
Norra Flät;Södra Flät;3000
Södra Flät;Svabensverk;4500
Södra Flät;Skålsjön;10000
Skålsjön;Skräddrarbo;10000
Skräddrarbo;Mållångstad;7000
Mållångstad;Kammahav;5000
Kammahav;Edsbyn;15000
Kammahav;Alfta;15000
Svabensverk;Lamborn;10000
Svabensverk;Björnåsen;5000
Över berget;Björnåsen;4000
Svartnäs;Över berget;20000
Över berget;Lamborn;30000
Lamborn;Enviken;20000
Enviken;Svärdsjö;15000
Svärdsjö;Lumsheden;21000
Lumsheden;Åshammar;21000
Sandviken;Kungsgården;15000
Kungsgården;Åshammar;7000
Kungsgården;Storvik;2000
Järbo;Jädraås;20000
Jädraås;Rönnbacken;20000
Lamborn;Bingsjö;6000
Bingsjö;Ingels;25000
Ingels;Rättvik;9000
Ingels;Boda;8000
Boda;Furudal;22000
Furudal;Orsa;30000
Furudal;Edsbyn;50000
Ockelbo;Åmot;20000
Åmot;Rönnbacken;6500
Rönnbacken;Svartnäs;1500
Abisko;Kiruna;100000
Treriksröset;Saarikoski;40000
Saarikoski;Karesuando;60000
Karesuando;Pajala;180000
Karesuando;Vittangi;120000
Vittangi;Svappavaara;30000
Svappavaara;Gällivare;50000
Iggesund;Arbrå;42444,53282
Sörforsa;Iggesund;10264,97679
Arbrå;Sörforsa;41944,70508
Söderhamn;Arbrå;40593,71008
Iggesund;Söderhamn;37554,85976
Marmaskogen;Arbrå;37725,30863
Söderhamn;Marmaskogen;5966,833308
Marmaskogen;Bollnäs;31267,33923
Bollnäs;Arbrå;13527,60782
Marmaskogen;Kilafors;21920,39176
Kilafors;Bollnäs;16088,77026
Kilafors;Tönnebro;33912,0
Ljusne;Kilafors;30408,37557
Marmaskogen;Ljusne;11857,11314
Ockelbo;Kilafors;40081,29406
Ljusne;Ockelbo;43779,67511
Alfta;Kilafors;29719,52158
Edsbyn;Alfta;13703,67583
Arbrå;Alfta;21880,63975
Edsbyn;Arbrå;31644,98073
Järvsö;Arbrå;28808,04015
Edsbyn;Järvsö;41407,43099
Delsbo;Arbrå;38043,45985
Järvsö;Delsbo;23050,18253
Ljusdal;Delsbo;24691,30293
Järvsö;Ljusdal;13916,30312
Stöde och Fanbyn;Delsbo;67134,77345
Ljusdal;Stöde och Fanbyn;68694,32511
Stöde och Fanbyn;Bergsjö;53458,7625
Bergsjö;Delsbo;33323,28436
Matfors;Bergsjö;40428,28363
Stöde och Fanbyn;Matfors;24144,13207
Matfors;Gnarp;34753,74373
Gnarp;Bergsjö;12079,28605
Njurundabommen;Gnarp;25193,48
Matfors;Njurundabommen;20263,86687
Härnösand;Gnarp;74093,72028
Njurundabommen;Härnösand;49809,05998
Hudiksvall;Gnarp;36440,49896
Sandarne;Hudiksvall;52766,35806
Sandarne;Iggesund;43534,41282
Iggesund;Hudiksvall;9482,466702
Öregrund;Karlholmsbruk;48590,56775
Norrsundet;Sandarne;35741,69416
Ljusne;Sandarne;5331,382905
Hagsta;Gävle;30000,0
Hagsta;Tönnebro;20000,0
Tönnebro;Söderhamn;21000,0
Norrsundet;Ljusne;30860,32594
Ljusne;Söderhamn;11360,3946
Söderhamn;Sandarne;8439,641094
Karlholmsbruk;Skutskär;19787,65579
Skutskär;Åbyggeby;18375,30046
Åbyggeby;Norrsundet;22320,22438
Skutskär;Gävle;11661,28195
Gävle;Åbyggeby;8583,917979
Skutskär;Älvkarleby;8526,524703
Älvkarleby;Gävle;18578,27273
Söderfors;Gävle;31679,48924
Älvkarleby;Söderfors;23486,97542
Valbo;Gävle;10286,52791
Söderfors;Valbo;31868,68583
Söderfors;Hedesunda;13492,00402
Hedesunda;Valbo;27455,69733
Söderfors;Östervåla;22658,09148
Östervåla;Hedesunda;25691,35116
Tierp;Östervåla;26273,32627
Söderfors;Tierp;15597,22147
Örbyhus;Östervåla;29108,07641
Tierp;Örbyhus;16925,20882
Örbyhus;Björklinge;23286,00242
Björklinge;Östervåla;26279,05476
Örbyhus;Vattholma;23466,24012
Vattholma;Björklinge;11016,89829
Österbybruk;Vattholma;22133,72504
Örbyhus;Österbybruk;11460,25121
Österbybruk;Alunda;17699,37107
Alunda;Vattholma;19753,14951
Gimo;Alunda;13140,75264
Österbybruk;Gimo;16006,57271
Hallstavik;Alunda;29189,62067
Gimo;Hallstavik;27206,81651
Hallstavik;Rimbo;36204,96343
Rimbo;Alunda;39183,20023
Hallstavik;Norrtälje;32461,13597
Norrtälje;Rimbo;19634,39588
Älmsta;Norrtälje;24136,67222
Hallstavik;Älmsta;14469,92381
Älmsta;Djurö;73416,45475
Djurö;Norrtälje;49734,90577
Töcksfors;Strömstad;73387,543
Charlottenberg;Töcksfors;49153,15872
Åmotfors;Töcksfors;40835,20376
Charlottenberg;Åmotfors;13700,72903
Årjäng;Töcksfors;21111,251
Åmotfors;Årjäng;44145,94839
Arvika;Årjäng;39576,60563
Åmotfors;Arvika;16894,33757
Arvika;Grums;45870,68123
Grums;Årjäng;55595,07689
Vålberg;Grums;5263,850028
Arvika;Vålberg;46007,97158
Slottsbron;Grums;2935,210774
Vålberg;Slottsbron;7713,107964
Skoghall;Slottsbron;22567,90528
Vålberg;Skoghall;19237,21856
Säffle;Slottsbron;22997,06364
Skoghall;Säffle;38599,88591
Årjäng;Slottsbron;55599,50254
Säffle;Årjäng;53898,89804
Säffle;Åmål;16704,80633
Åmål;Årjäng;49356,63037
Lidköping norra;Åmål;62926,08217
Säffle;Lidköping norra;67993,35404
Mellerud;Åmål;41300,80745
Lidköping norra;Mellerud;43040,04401
Dals Långed;Åmål;26312,77533
Mellerud;Dals Långed;26006,75705
Billingsfors;Åmål;26807,04239
Dals Långed;Billingsfors;7819,617105
Bengtsfors;Åmål;26764,21277
Billingsfors;Bengtsfors;4836,356988
Ed;Bengtsfors;21258,38783
Billingsfors;Ed;19575,41666
Årjäng;Bengtsfors;40540,04032
Ed;Årjäng;54205,39117
Strömstad;Årjäng;73117,61738
Ed;Strömstad;42869,08533
Tanumshede;Strömstad;24879,28999
Ed;Tanumshede;41380,17205
Grebbestad;Strömstad;27703,43584
Tanumshede;Grebbestad;5517,622377
Smögen;Strömstad;64919,84098
Grebbestad;Smögen;37354,07657
Grebbestad;Hunnebostrand;28016,68411
Hunnebostrand;Smögen;10471,41624
Grebbestad;Munkedal;35499,46416
Munkedal;Hunnebostrand;23137,61226
Brastad;Hunnebostrand;11593,35435
Munkedal;Brastad;17753,57191
Kungshamn;Hunnebostrand;9563,190995
Brastad;Kungshamn;12102,75104
Brastad;Lysekil;10660,54528
Lysekil;Kungshamn;14651,83897
Brastad;Henån;20329,17714
Henån;Lysekil;13893,98569
Brastad;Kurveröd;25317,29331
Kurveröd;Henån;19546,92029
Uddevalla;Henån;19729,84638
Kurveröd;Uddevalla;1975,865776
Ljungskile;Henån;14091,38277
Uddevalla;Ljungskile;15905,11785
Ljungskile;Svanesund;9067,392711
Svanesund;Henån;13257,69382
Ljungskile;Ödsmål;10877,98327
Ödsmål;Svanesund;3920,212792
Lilla Edet västra;Ödsmål;15336,72005
Ljungskile;Lilla Edet västra;14694,65301
Göta;Ödsmål;16792,36391
Lilla Edet västra;Göta;3790,234284
Stenungsund;Ödsmål;5913,247118
Göta;Stenungsund;18833,79415
Lödöse;Stenungsund;19138,28489
Göta;Lödöse;8594,190613
Stora Höga;Stenungsund;5317,744491
Lödöse;Stora Höga;19646,68751
Myggenäs, Häggvall och Höviksnäs;Stenungsund;7949,593066
Stora Höga;Myggenäs, Häggvall och Höviksnäs;4479,61924
Myggenäs, Häggvall och Höviksnäs;Svanesund;15407,56133
Svanesund;Stenungsund;8881,549233
Ellös;Svanesund;20403,72613
Myggenäs, Häggvall och Höviksnäs;Ellös;24522,16173
Skärhamn;Ellös;21806,71706
Myggenäs, Häggvall och Höviksnäs;Skärhamn;11683,16563
Smögen;Ellös;24867,31154
Skärhamn;Smögen;45724,52788
Lysekil;Ellös;11797,99789
Smögen;Lysekil;15525,37088
Arvidsvik;Smögen;56365,93528
Skärhamn;Arvidsvik;10909,82248
Hönö och Öckerö;Smögen;78427,5577
Arvidsvik;Hönö och Öckerö;22404,63967
Sturkö;Simrishamn;103362,7184
Hasslö;Sturkö;11361,97632
Simrishamn;Hasslö;94507,82146
Karlskrona;Sturkö;9028,777181
Hasslö;Karlskrona;12944,61338
Jämjö;Sturkö;14217,36865
Karlskrona;Jämjö;13010,33839
Jämjö;Mörbylånga;49896,23835
Jämjö;Bergkvara;26440,08817
Bergkvara;Mörbylånga;24174,56499
Jämjö;Torsås;26330,99673
Torsås;Bergkvara;4987,912576
Rödeby;Torsås;28926,89519
Jämjö;Rödeby;15589,04477
Emmaboda;Torsås;37765,57993
Rödeby;Emmaboda;41427,4548
Nybro;Torsås;37379,07635
Emmaboda;Nybro;26259,83805
Nybro;Ljungbyholm;20061,01407
Ljungbyholm;Torsås;26649,58899
Trekanten;Ljungbyholm;7944,003391
Nybro;Trekanten;13712,26489
Smedby;Ljungbyholm;6816,396395
Trekanten;Smedby;7598,92766
Rinkabyholm;Ljungbyholm;6156,820582
Smedby;Rinkabyholm;3060,725355
Mörbylånga;Ljungbyholm;18234,14425
Rinkabyholm;Mörbylånga;16783,0038
Kalmar;Mörbylånga;16396,14015
Rinkabyholm;Kalmar;6332,521032
Färjestaden;Mörbylånga;15092,0379
Kalmar;Färjestaden;7697,919987
Kalmar;Lindsdal;8142,590095
Lindsdal;Färjestaden;14726,55253
Smedby;Lindsdal;6788,083728
Kalmar;Smedby;7587,943786
Borgholm;Färjestaden;28740,00975
Lindsdal;Borgholm;29258,28368
Klintehamn;Hemse;19813,3482
Romakloster;Hemse;30019,179
Klintehamn;Romakloster;19812,80109
Romakloster;Slite;30439,27282
Slite;Hemse;57893,81575
Visby;Slite;30606,73154
Romakloster;Visby;16617,79589
Visby;Nynäshamn;144048,9127
Oxelösund;Nynäshamn;54838,03186
Visby;Oxelösund;135574,5882
Oxelösund;Trosa;36526,70875
Trosa;Nynäshamn;22083,1649
Oxelösund;Nyköping;11266,94913
Nyköping;Trosa;35207,1236
Oxelösund;Arnö;8250,714275
Arnö;Nyköping;3479,027359
Svalsta;Arnö;9051,092491
Oxelösund;Svalsta;16311,1275
Oxelösund;Söderköping;50714,77395
Söderköping;Svalsta;43411,49472
Gusum;Söderköping;25090,41438
Oxelösund;Gusum;57339,44968
Åtvidaberg;Söderköping;36158,89855
Gusum;Åtvidaberg;30424,71222
Åtvidaberg;Grebo;13371,07215
Grebo;Söderköping;32987,02564
Rimforsa;Grebo;21266,97428
Åtvidaberg;Rimforsa;19784,5499
Sturefors;Grebo;9471,882634
Rimforsa;Sturefors;22261,30554
Linghem;Grebo;15277,85495
Sturefors;Linghem;11203,84213
Tallboda;Linghem;5330,668105
Sturefors;Tallboda;10601,32285
Ekängen;Linghem;9811,070018
Tallboda;Ekängen;5659,226713
Skärblacka;Linghem;17803,2167
Ekängen;Skärblacka;19355,99567
Kimstad;Linghem;16751,00589
Skärblacka;Kimstad;5285,743157
Kimstad;Söderköping;22565,45255
Söderköping;Linghem;31772,63434
Norrköping;Söderköping;14532,98271
Kimstad;Norrköping;13259,55706
Norrköping;Lindö;4858,275848
Lindö;Söderköping;15161,94009
Åby;Lindö;8034,406493
Norrköping;Åby;9175,460915
Åby;Krokek;11233,93743
Krokek;Lindö;9852,189673
Katrineholm;Krokek;36859,59621
Åby;Katrineholm;36460,84559
Katrineholm;Valla;10540,79561
Valla;Krokek;38727,42055
Katrineholm;Hälleforsnäs;24817,17189
Hälleforsnäs;Valla;16417,84037
Vingåker;Hälleforsnäs;37969,01907
Katrineholm;Vingåker;19751,80002
Vingåker;Kungsör;44097,50434
Kungsör;Hälleforsnäs;37506,10303
Arboga;Kungsör;15889,71315
Vingåker;Arboga;39654,94992
Köping;Kungsör;11879,74095
Arboga;Köping;15657,32764
Köping;Kolbäck;14600,7572
Kolbäck;Kungsör;17348,46434
Södra Hallstahammar;Kolbäck;4423,507406
Köping;Södra Hallstahammar;16091,70644
Hallstahammar;Kolbäck;5831,329318
Södra Hallstahammar;Hallstahammar;1911,260674
Dingtuna;Kolbäck;8414,840698
Hallstahammar;Dingtuna;9536,265073
Dingtuna;Kvicksund;14394,4019
Kvicksund;Kolbäck;13648,01964
Barkarö;Kvicksund;16439,0014
Dingtuna;Barkarö;7432,969896
Torshälla;Kvicksund;10403,73592
Barkarö;Torshälla;14967,04001
Hällbybrunn;Kvicksund;9111,949278
Torshälla;Hällbybrunn;4207,213977
Kungsör;Kvicksund;11577,43424
Hällbybrunn;Kungsör;18384,0473
Hällbybrunn;Eskilstuna;8231,814863
Eskilstuna;Kungsör;24016,51225
Hällbybrunn;Skiftinge;6724,974202
Skiftinge;Eskilstuna;8228,272802
Skiftinge;Ärla;15301,85522
Ärla;Eskilstuna;12821,63078
Skiftinge;Sundbyholm;6537,449726
Sundbyholm;Ärla;18352,61645
Skiftinge;Torshälla;4643,938345
Torshälla;Sundbyholm;8120,614821
Strängnäs;Ärla;21409,8744
Sundbyholm;Strängnäs;24561,25378
Åkers styckebruk;Ärla;23839,34274
Strängnäs;Åkers styckebruk;12782,75734
Åkers styckebruk;Malmköping;25659,43645
Malmköping;Ärla;15951,61044
Gnesta;Malmköping;34970,49652
Åkers styckebruk;Gnesta;26198,08691
Stigtomta;Malmköping;37364,83584
Gnesta;Stigtomta;40746,16434
Stigtomta;Flen;30752,43292
Flen;Malmköping;11268,50943
Valla;Flen;13129,5932
Stigtomta;Valla;33747,58456
Flen;Hälleforsnäs;11653,8293
Hälleforsnäs;Malmköping;12815,5815
Gnesta;Nyköping;36174,15499
Nyköping;Stigtomta;14474,01762
Vagnhärad;Nyköping;34665,96789
Gnesta;Vagnhärad;15569,25876
Mölnbo;Vagnhärad;12338,73921
Gnesta;Mölnbo;6955,897669
Mölnbo;Hölö;6996,833578
Hölö;Vagnhärad;8703,071023
Järna;Hölö;7762,100402
Mölnbo;Järna;8738,08338
Järna;Sunnerby och Spångbro;17168,02518
Sunnerby och Spångbro;Hölö;16652,88593
Pershagen;Sunnerby och Spångbro;17648,38558
Järna;Pershagen;8806,818423
Vårsta;Sunnerby och Spångbro;16586,51146
Pershagen;Vårsta;7747,838192
Norra Riksten;Sunnerby och Spångbro;19108,66487
Vårsta;Norra Riksten;7363,293366
Västerhaninge;Sunnerby och Spångbro;19187,5777
Norra Riksten;Västerhaninge;12736,85615
Västerhaninge;Ösmo;18971,09368
Ösmo;Sunnerby och Spångbro;5528,162597
Nynäshamn;Ösmo;9065,929303
Västerhaninge;Nynäshamn;25204,63915
